"User","ID","Nickname","@everyone","Team Dev","和組（Guest Speaker）","gmBOT","MemberList","wagumi bot","Server Booster","ServerStats","和組（admin）"
"kota#9280","916338192456749098","","@everyone","","","","","","","",""
"yuhir#7027","915111905897631774","","@everyone","","","","","","","",""
"RayWays#6629","916659786471325696","","@everyone","","","","","","","",""
"geeknees#6235","618724654940553237","","@everyone","","","","","","","",""
"Shigure#6963","802072866614411314","","@everyone","","","","","","","",""
"urouro#6426","745642097893179442","","@everyone","","","","","","","",""
"fujibee#0644","346027307049156608","","@everyone","","","","","","","",""
"Aru#0850","877799599576846357","","@everyone","","","","","","","",""
"mokmal#9565","806447098878361620","","@everyone","","","","","","","",""
"okazu#3939","390790453097791495","","@everyone","","","","","","","",""
"greatape#6294","390839956156842005","","@everyone","","","","","","","",""
"Olohana-maru#6452","894006513247596584","","@everyone","","","","","","","",""
"shugo#8088","836524430519304251","Mr. Kickout","@everyone","","","","","","","","和組（admin）"
"watanabe1113#5004","917569533114478662","","@everyone","","","","","","","",""
"doki#7162","397755492358815754","","@everyone","","","","","","","",""
"いっしー#5484","915292021885911061","","@everyone","","","","","","","",""
"hm0429.eth#8896","834015389054009345","","@everyone","","","","","","","",""
"MT#6091","279622725788762112","","@everyone","","","","","","","",""
"笑い太郎#5508","918214328933580911","","@everyone","","","","","","","",""
"さんやたけし#1730","918663977364508713","","@everyone","","","","","","","",""
"りょう88#9302","886274036408143882","","@everyone","","","","","","","",""
"シン#6310","916677872301785138","","@everyone","","","","","","","",""
"kaz#4585","714692799840256050","","@everyone","","","","","","","",""
"BATTLE - seiryu.eth#9529","402009106560581634","","@everyone","","","","","","","",""
"yuki0527#5599","918668184930906132","","@everyone","","","","","","","",""
"おおおお#8170","897308693987749940","","@everyone","","","","","","","",""
"hide#0963","918669094759325726","","@everyone","","","","","","","",""
"ummmbbb#7959","918668253570695299","","@everyone","","","","","","","",""
"piyopeta#7076","918671143362261064","","@everyone","","","","","","","",""
"newton#2670","712475602548162661","","@everyone","","","","","","","",""
"yakamazu#1712","709915313168318495","","@everyone","","","","","","","",""
"Ryosuke#7660","471960343556521994","","@everyone","","","","","","","",""
